i,j,mocoeff
12,15,  0.000000000000e+00
12,16,  0.000000000000e+00
12,17,  0.000000000000e+00
12,18,  1.555777175990e+00
12,19,  0.000000000000e+00
12,20,  0.000000000000e+00
12,21,  0.000000000000e+00
12,22,  0.000000000000e+00
12,23,  0.000000000000e+00
12,24,  0.000000000000e+00
12,25,  0.000000000000e+00
12,26,  0.000000000000e+00
13,0,  0.000000000000e+00
13,1,  0.000000000000e+00
13,2,  0.000000000000e+00
13,3,  2.368385884313e-04
13,4,  0.000000000000e+00
13,5,  0.000000000000e+00
13,6,  0.000000000000e+00
13,7, -5.148274263131e-01
13,8,  0.000000000000e+00
13,9,  0.000000000000e+00
13,10,  5.275841834878e-01
13,11,  0.000000000000e+00
13,12,  0.000000000000e+00
13,13,  0.000000000000e+00
13,14,  0.000000000000e+00
13,15,  0.000000000000e+00
13,16,  0.000000000000e+00
13,17,  0.000000000000e+00
13,18,  0.000000000000e+00
13,19,  1.555777175987e+00
13,20,  0.000000000000e+00
13,21,  0.000000000000e+00
13,22,  0.000000000000e+00
13,23,  0.000000000000e+00
13,24,  0.000000000000e+00
13,25,  0.000000000000e+00
13,26,  0.000000000000e+00
14,0,  0.000000000000e+00
14,1,  0.000000000000e+00
14,2,  0.000000000000e+00
14,3,  0.000000000000e+00
14,4, -2.157919311253e-04
14,5,  0.000000000000e+00
14,6,  0.000000000000e+00
14,7,  0.000000000000e+00
14,8, -3.149966512126e-02
14,9,  0.000000000000e+00
14,10,  0.000000000000e+00
14,11, -1.224742816794e+00
14,12,  0.000000000000e+00
14,13,  0.000000000000e+00
14,14,  0.000000000000e+00
14,15,  0.000000000000e+00
14,16,  0.000000000000e+00
14,17,  0.000000000000e+00
14,18,  0.000000000000e+00
14,19,  0.000000000000e+00
14,20, -5.817579052966e-01
14,21,  0.000000000000e+00
14,22,  0.000000000000e+00
14,23,  0.000000000000e+00
14,24,  0.000000000000e+00
14,25,  0.000000000000e+00
14,26,  0.000000000000e+00
15,0,  0.000000000000e+00
15,1,  0.000000000000e+00
15,2, -2.157949441952e-04
15,3,  0.000000000000e+00
15,4,  0.000000000000e+00
15,5,  0.000000000000e+00
15,6, -3.149965078664e-02
15,7,  0.000000000000e+00
15,8,  0.000000000000e+00
15,9, -1.224742818687e+00
15,10,  0.000000000000e+00
15,11,  0.000000000000e+00
15,12,  0.000000000000e+00
15,13,  0.000000000000e+00
15,14,  0.000000000000e+00
15,15,  0.000000000000e+00
15,16,  0.000000000000e+00
15,17,  0.000000000000e+00
15,18, -5.817579020868e-01
15,19,  0.000000000000e+00
15,20,  0.000000000000e+00
15,21,  0.000000000000e+00
15,22,  0.000000000000e+00
15,23,  0.000000000000e+00
15,24,  0.000000000000e+00
15,25,  0.000000000000e+00
15,26,  0.000000000000e+00
16,0,  0.000000000000e+00
16,1,  0.000000000000e+00
16,2,  0.000000000000e+00
16,3, -2.157949442905e-04
16,4,  0.000000000000e+00
16,5,  0.000000000000e+00
16,6,  0.000000000000e+00
16,7, -3.149965078085e-02
16,8,  0.000000000000e+00
16,9,  0.000000000000e+00
16,10, -1.224742818689e+00
16,11,  0.000000000000e+00
16,12,  0.000000000000e+00
16,13,  0.000000000000e+00
16,14,  0.000000000000e+00
16,15,  0.000000000000e+00
16,16,  0.000000000000e+00
16,17,  0.000000000000e+00
16,18,  0.000000000000e+00
16,19, -5.817579020820e-01
16,20,  0.000000000000e+00
16,21,  0.000000000000e+00
16,22,  0.000000000000e+00
16,23,  0.000000000000e+00
